article_name,country,region,rev_id,article_quality,population
Mahama Iddrisu,Ghana,AFRICA,724610329,Stub,31.073
Issifu Ali,Ghana,AFRICA,724612345,Stub,31.073
Álvur Zachariasen,Denmark,EUROPE,724620220,Stub,5.829
Ylli Asllani,Albania,EUROPE,724621036,Stub,2.838
Neil Sharma,Fiji,OCEANIA,724625467,Start,896.0
Kedar Nath Rai,India,ASIA,724628450,Stub,1400.1
Finn Olav Gundelach,Denmark,EUROPE,724630451,Stub,5.829
Germán Serrano Pinto,Costa Rica,LATIN AMERICA AND THE CARIBBEAN,724632104,Stub,5.111000000000001
Redley A. Killion,Federated States of Micronesia,OCEANIA,724635347,Stub,106.0
Gustav Schädler,Liechtenstein,EUROPE,724641904,Stub,39.0
Nosipho Ntwanambi,South Africa,AFRICA,724647215,Stub,59.628
Ben Mboi,Indonesia,ASIA,724659629,Stub,271.73900000000003
Frans Lebu Raya,Indonesia,ASIA,724659838,Stub,271.73900000000003
Eduard Hedvicek,Austria,EUROPE,724661522,Stub,8.914
Matthew Scott (police commissioner),United Kingdom,EUROPE,724663004,Stub,67.16
Grace Jelagat Kipchoim,Kenya,AFRICA,724671827,Stub,53.528
Harry Blank,Canada,NORTHERN AMERICA,724678615,Start,38.19
Ame Pandu Ame,Tanzania,AFRICA,724678968,Stub,59.733999999999995
Ahmad Diyab,Syria,ASIA,724686059,Stub,19.398
"Francisco de Borja Queipo de Llano, 8th Count of Toreno",Spain,EUROPE,724695388,Start,47.635
Stefanos Natsinas,Greece,EUROPE,724699172,Start,10.7
Katarzyna Pełczyńska-Nałęcz,Poland,EUROPE,724703530,Start,38.368
Alexandre Gendebien,Belgium,EUROPE,724706545,Stub,11.515
François-Philippe de Haussy,Belgium,EUROPE,724707072,Stub,11.515
Yakup I of Germiyan,Turkey,ASIA,724707096,Stub,83.73700000000001
Ngairangbam Bijoy Singh,India,ASIA,724740096,Stub,1400.1
Wei Yuanzhong,China,ASIA,724758025,B,1402.385
Alphonse Arzel,France,EUROPE,724761099,Stub,64.94
Gabriel Acosta Bendek,Colombia,LATIN AMERICA AND THE CARIBBEAN,724767246,Stub,49.443999999999996
Lázaro Garza Ayala,Mexico,LATIN AMERICA AND THE CARIBBEAN,724771130,Stub,127.792
Bosse Persson,Sweden,EUROPE,724803733,Stub,10.377
Ch. Sarup Singh,India,ASIA,724803914,Stub,1400.1
Isaac Gilinski Sragowicz,Colombia,LATIN AMERICA AND THE CARIBBEAN,724804717,Start,49.443999999999996
Kiyoko Ono,Japan,ASIA,724807659,Start,125.96700000000001
John Taolo Gaetsewe,South Africa,AFRICA,724812020,Stub,59.628
John Miller (New South Wales politician),Australia,OCEANIA,724818337,Stub,25.754
Hendrik Fernandez,Indonesia,ASIA,724823670,Stub,271.73900000000003
Alexander Malcolm,New Zealand,OCEANIA,724827562,Stub,4.987
Denitsa Gadzheva,Bulgaria,EUROPE,724830553,Stub,6.9270000000000005
Marcel Gumbs,Netherlands,EUROPE,724830612,Start,17.467
Oskari Vihantola,Finland,EUROPE,724835152,Stub,5.529
Miguel Samper Agudelo,Colombia,LATIN AMERICA AND THE CARIBBEAN,724836169,Start,49.443999999999996
Semi Koroilavesau,Fiji,OCEANIA,724837476,Stub,896.0
Arvo Sävelä,Finland,EUROPE,724838717,Stub,5.529
Leo Gummerus,Finland,EUROPE,724839540,Stub,5.529
Juho Malkamäki,Finland,EUROPE,724846656,Stub,5.529
George Granfelt,Finland,EUROPE,724848015,Stub,5.529
Rafet Husović,Montenegro,EUROPE,724848031,Stub,622.0
August Isaksson,Finland,EUROPE,724848646,Stub,5.529
Väinö Kivilinna,Finland,EUROPE,724849330,Stub,5.529
Arthur Lagerlöf,Finland,EUROPE,724849395,Stub,5.529
Evert Huttunen,Finland,EUROPE,724851479,Stub,5.529
Edmond Canaple,France,EUROPE,724854353,Stub,64.94
John Heche,Tanzania,AFRICA,724859665,Stub,59.733999999999995
Lee I-yang,Taiwan,ASIA,724861210,Stub,23.61
Antti Juutilainen,Finland,EUROPE,724861783,Stub,5.529
Janne Ihamuotila,Finland,EUROPE,724862716,Stub,5.529
Ammar Al-Madany,Iraq,ASIA,724869427,Stub,39.725
Matti Pietinen,Finland,EUROPE,724871095,Stub,5.529
Robert Kirkpatrick Simpson,New Zealand,OCEANIA,724872220,Stub,4.987
Walter Buchheim,Germany,EUROPE,724872861,Start,83.3
Rudolf Hommes Rodríguez,Colombia,LATIN AMERICA AND THE CARIBBEAN,724874056,Stub,49.443999999999996
Radan Kanev,Bulgaria,EUROPE,724874883,Stub,6.9270000000000005
Nikolay Vasilev,Bulgaria,EUROPE,724874973,Stub,6.9270000000000005
Salem Yahya Alkharejah,Yemen,ASIA,724875687,Stub,29.826
Sarah Wescot-Williams,Netherlands,EUROPE,724878019,Stub,17.467
Raimo Mähönen,Finland,EUROPE,724879669,Stub,5.529
Ali Malakouti,Iran,ASIA,724880477,Stub,84.15
Mir Ebrahim Seyyed Hatami,Iran,ASIA,724880556,Stub,84.15
Sirkka Lekman,Finland,EUROPE,724881596,Stub,5.529
Graciela Muslera,Uruguay,LATIN AMERICA AND THE CARIBBEAN,724882255,Stub,3.531
Hilda Hannunen,Finland,EUROPE,724882834,Stub,5.529
Matti Viljanen,Finland,EUROPE,724888837,Stub,5.529
Taite Te Tomo,New Zealand,OCEANIA,724891356,Stub,4.987
Markku Lehtosaari,Finland,EUROPE,724896019,Stub,5.529
Kari Kantalainen,Finland,EUROPE,724897676,Stub,5.529
Colin McKee (politician),Australia,OCEANIA,724898277,Stub,25.754
Kevin Hamilton (politician),Australia,OCEANIA,724898287,Stub,25.754
John McNeill (New South Wales politician),Australia,OCEANIA,724899193,Stub,25.754
Ulla Juurola,Finland,EUROPE,724900067,Stub,5.529
Pierre Roux-Freissineng,France,EUROPE,724900868,Stub,64.94
Osmo Vepsäläinen,Finland,EUROPE,724900968,Stub,5.529
Abdirahman Abdi Mohamed,Somalia,AFRICA,724919065,Stub,15.892999999999999
Mahad Mohamed Salad,Somalia,AFRICA,724919107,Stub,15.892999999999999
Remy Lamah,Guinea,AFRICA,724923436,Stub,12.56
Abu Bakarr Fofanah,Sierra Leone,AFRICA,724923547,Stub,7.977
Rogelio Ortega Martínez,Mexico,LATIN AMERICA AND THE CARIBBEAN,724923611,Stub,127.792
Paul Paavela,Finland,EUROPE,724928491,Stub,5.529
Maurice Dormann,France,EUROPE,724933315,Start,64.94
Rao Jamil Akhtar Khan,Pakistan,ASIA,724938051,Stub,220.94
Enrique Olivera,Argentina,LATIN AMERICA AND THE CARIBBEAN,724952677,Stub,45.376999999999995
Lolita Čigāne,Latvia,EUROPE,724966359,Start,1.902
Pablo D. Abdala,Uruguay,LATIN AMERICA AND THE CARIBBEAN,724967430,Stub,3.531
Carlos Abdala,Uruguay,LATIN AMERICA AND THE CARIBBEAN,724967466,Stub,3.531
Derviş Kemal Deniz,Cyprus,ASIA,724980436,Stub,1.207
Evgeni Bakardzhiev,Bulgaria,EUROPE,724997740,Start,6.9270000000000005
Luís Antônio Fleury Filho,Brazil,LATIN AMERICA AND THE CARIBBEAN,725000988,Stub,211.812
Roger Hirst,United Kingdom,EUROPE,725002647,Stub,67.16
Zsolt Szilágyi (politician),Romania,EUROPE,725002811,Stub,19.241
Tim Passmore,United Kingdom,EUROPE,725006936,Stub,67.16
Jason Ablewhite,United Kingdom,EUROPE,725009132,Stub,67.16
Muravey Radev,Bulgaria,EUROPE,725011115,Stub,6.9270000000000005
Keith Hunter (police commissioner),United Kingdom,EUROPE,725012761,Stub,67.16
Vilhelm Kraus,Bulgaria,EUROPE,725012867,Stub,6.9270000000000005
Ventsislav Varbanov,Bulgaria,EUROPE,725012892,Stub,6.9270000000000005
Bogdan Aurescu,Romania,EUROPE,725020962,Stub,19.241
Mateo Qares,Tanzania,AFRICA,725029600,Stub,59.733999999999995
Yuriy Platonov (politician),Moldova,EUROPE,725030069,Stub,3.535
Anton of Stolberg-Wernigerode,Germany,EUROPE,725041109,Start,83.3
Noah Musingku,Papua New Guinea,OCEANIA,725041536,C,8.95
Juan Esteban Rodríguez Segura,Chile,LATIN AMERICA AND THE CARIBBEAN,725041586,Stub,19.47
Lauri Kähkönen,Finland,EUROPE,725043044,Stub,5.529
Yang Sun-im,"Korea, South",ASIA,725046275,Stub,51.781000000000006
Nguyen Quang Lap,Vietnam,ASIA,725059563,Start,96.209
Magdalena Tasheva,Bulgaria,EUROPE,725060631,Stub,6.9270000000000005
Saviour Friday Udoh,Nigeria,AFRICA,725060895,Stub,206.14
Ali Abdul Karim,Syria,ASIA,725064769,Stub,19.398
Gabriela Suppicich,Argentina,LATIN AMERICA AND THE CARIBBEAN,725068010,Stub,45.376999999999995
Ibrahim Artan Ismail,Somalia,AFRICA,725073480,Stub,15.892999999999999
Desislava Taneva,Bulgaria,EUROPE,725074396,Stub,6.9270000000000005
John Chester (Connecticut),United States,NORTHERN AMERICA,725077269,Stub,329.87800000000004
Hykmete Bajrami,Kosovo,EUROPE,725079093,Stub,1.791
Saleh al-Ogaili,Iraq,ASIA,725087552,Stub,39.725
Alfonso López Caballero,Colombia,LATIN AMERICA AND THE CARIBBEAN,725092390,Start,49.443999999999996
Augusto Espinosa Valderrama,Colombia,LATIN AMERICA AND THE CARIBBEAN,725093086,Stub,49.443999999999996
Bùi Bằng Đoàn,Vietnam,ASIA,725098226,Stub,96.209
Cec Creedon,Australia,OCEANIA,725102341,Stub,25.754
Imoru Salifu,Ghana,AFRICA,725102821,Stub,31.073
Mumuni Bawumia,Ghana,AFRICA,725102836,Stub,31.073
Mateni Tapueluelu,Tonga,OCEANIA,725102861,Start,99.0
Alberto Breccia Guzzo,Uruguay,LATIN AMERICA AND THE CARIBBEAN,725103018,Stub,3.531
Hamilton Gilmer,New Zealand,OCEANIA,725104025,Stub,4.987
James Cotter (politician),New Zealand,OCEANIA,725105996,Stub,4.987
James Cumming (politician),New Zealand,OCEANIA,725106028,Stub,4.987
James Goodall,New Zealand,OCEANIA,725106065,Stub,4.987
John Edward Duncan,New Zealand,OCEANIA,725106429,Stub,4.987
Asiedu Nketia,Ghana,AFRICA,725108597,Stub,31.073
Svetoslav Luchnikov,Bulgaria,EUROPE,725108755,Stub,6.9270000000000005
Lev Perovski,Russia,EUROPE,725108782,Stub,146.733
Ludvig Holstein-Ledreborg,Denmark,EUROPE,725125295,Start,5.829
Mario Tagarinski,Bulgaria,EUROPE,725126059,Start,6.9270000000000005
Dimitar Ludzhev,Bulgaria,EUROPE,725128312,Start,6.9270000000000005
Mahamat Djarma Khatir,Chad,AFRICA,725132042,Stub,16.877
Yury Biryukov,Russia,EUROPE,725137593,Stub,146.733
Carel Sirardus Willem van Hogendorp,Netherlands,EUROPE,725139735,Stub,17.467
Alisahib Huseynov,Azerbaijan,ASIA,725141868,Start,10.107999999999999
Nikolay Svinarov,Bulgaria,EUROPE,725146422,Stub,6.9270000000000005
Jenny Lay,United Kingdom,EUROPE,725158083,Stub,67.16
"Francisco Xavier da Silva Pereira, 1st Count of Antas",Portugal,EUROPE,725159949,Start,10.255
Addy García López,Mexico,LATIN AMERICA AND THE CARIBBEAN,725168732,Stub,127.792
Alejandra Méndez Salorio,Mexico,LATIN AMERICA AND THE CARIBBEAN,725168997,Stub,127.792
Ana Bricia Muro González,Mexico,LATIN AMERICA AND THE CARIBBEAN,725169396,Stub,127.792
Ana Lilia Guillén Quiroz,Mexico,LATIN AMERICA AND THE CARIBBEAN,725169421,Stub,127.792
Ana Luz Juárez Alejo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725169446,Stub,127.792
Araceli Velázquez,Mexico,LATIN AMERICA AND THE CARIBBEAN,725169819,Stub,127.792
Blanca Amelia Gámez,Mexico,LATIN AMERICA AND THE CARIBBEAN,725170423,Stub,127.792
Blanca Eppen,Mexico,LATIN AMERICA AND THE CARIBBEAN,725170433,Stub,127.792
Carla Rochín Nieto,Mexico,LATIN AMERICA AND THE CARIBBEAN,725170635,Stub,127.792
Concepción Robles Altamirano,Mexico,LATIN AMERICA AND THE CARIBBEAN,725171315,Stub,127.792
Consuelo Camarena,Mexico,LATIN AMERICA AND THE CARIBBEAN,725171356,Stub,127.792
Consuelo Muro Urista,Mexico,LATIN AMERICA AND THE CARIBBEAN,725171358,Stub,127.792
Edelmira Gutiérrez,Mexico,LATIN AMERICA AND THE CARIBBEAN,725171772,Stub,127.792
Eliana García Laguna,Mexico,LATIN AMERICA AND THE CARIBBEAN,725171834,Stub,127.792
Elsa Obrajero Montes,Mexico,LATIN AMERICA AND THE CARIBBEAN,725171893,Stub,127.792
Evangelina Pérez Zaragoza,Mexico,LATIN AMERICA AND THE CARIBBEAN,725172381,Stub,127.792
Evelia Sandoval Urbán,Mexico,LATIN AMERICA AND THE CARIBBEAN,725172385,Stub,127.792
Gema Martínez López,Mexico,LATIN AMERICA AND THE CARIBBEAN,725173202,Stub,127.792
Gisela Lara Saldaña,Mexico,LATIN AMERICA AND THE CARIBBEAN,725173279,Stub,127.792
Lev Kasso,Russia,EUROPE,725173502,Start,146.733
Guadalupe Morales Rubio,Mexico,LATIN AMERICA AND THE CARIBBEAN,725173642,Stub,127.792
Gustavo Moreno Ramos,Mexico,LATIN AMERICA AND THE CARIBBEAN,725174519,Stub,127.792
Irma Moreno Ovalles,Mexico,LATIN AMERICA AND THE CARIBBEAN,725174967,Stub,127.792
Irma Sinforina Figueroa,Mexico,LATIN AMERICA AND THE CARIBBEAN,725174976,Stub,127.792
Janette Ovando,Mexico,LATIN AMERICA AND THE CARIBBEAN,725175113,Stub,127.792
Jesús Zúñiga Romero,Mexico,LATIN AMERICA AND THE CARIBBEAN,725175290,Stub,127.792
José Luis Briones Briseño,Mexico,LATIN AMERICA AND THE CARIBBEAN,725175710,Stub,127.792
Juan Antonio Guajardo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725175990,Stub,127.792
Karina Martínez Cantú,Mexico,LATIN AMERICA AND THE CARIBBEAN,725176389,Stub,127.792
Mohamud Ali Magan,Somalia,AFRICA,725176400,Stub,15.892999999999999
Laura Elena Martínez Rivera,Mexico,LATIN AMERICA AND THE CARIBBEAN,725176430,Stub,127.792
Laura Reyes Retana,Mexico,LATIN AMERICA AND THE CARIBBEAN,725176516,Stub,127.792
Leticia Gutiérrez Corona,Mexico,LATIN AMERICA AND THE CARIBBEAN,725176659,Stub,127.792
Lilia Reyes Morales,Mexico,LATIN AMERICA AND THE CARIBBEAN,725176707,Stub,127.792
Lorena Torres Ramos,Mexico,LATIN AMERICA AND THE CARIBBEAN,725177025,Stub,127.792
Magdalena González Furlong,Mexico,LATIN AMERICA AND THE CARIBBEAN,725177522,Start,127.792
Marbella Casanova,Mexico,LATIN AMERICA AND THE CARIBBEAN,725177584,Stub,127.792
Margarita Martínez López,Mexico,LATIN AMERICA AND THE CARIBBEAN,725177732,Stub,127.792
Mario Moya Palencia,Mexico,LATIN AMERICA AND THE CARIBBEAN,725177859,Start,127.792
Marisol Urrea Camarena,Mexico,LATIN AMERICA AND THE CARIBBEAN,725177880,Stub,127.792
Marlene Herrera Díaz,Mexico,LATIN AMERICA AND THE CARIBBEAN,725177888,Stub,127.792
María Angélica Díaz del Campo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178046,Stub,127.792
María Angélica Ramírez Luna,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178059,Stub,127.792
María Arias Staines,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178090,Stub,127.792
María Concepción Fajardo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178118,Stub,127.792
María García Velasco,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178515,Stub,127.792
María Garfias Maldonado,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178517,Stub,127.792
María Jaspeado,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178563,Stub,127.792
K. R. Guruswami Iyer,India,ASIA,725178575,Stub,1400.1
María Rodríguez de Alba,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178594,Stub,127.792
María Talavera Hernández,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178609,Stub,127.792
María del Carmen Escudero,Mexico,LATIN AMERICA AND THE CARIBBEAN,725178695,Stub,127.792
Moisés Jiménez Sánchez,Mexico,LATIN AMERICA AND THE CARIBBEAN,725179070,Stub,127.792
Myriam Arabian,Mexico,LATIN AMERICA AND THE CARIBBEAN,725179083,Stub,127.792
Mohamud Hayir Ibrahim,Somalia,AFRICA,725181174,Stub,15.892999999999999
Xanhüseyn Kazımlı,Azerbaijan,ASIA,725188231,Stub,10.107999999999999
Waleed A. Elkhereiji,Saudi Arabia,ASIA,725189868,Stub,35.041
Yuliana Doncheva,Bulgaria,EUROPE,725203334,Stub,6.9270000000000005
John Oponjo Benjamin,Sierra Leone,AFRICA,725204266,Stub,7.977
Jagjivan Prasad Babu,India,ASIA,725205938,Stub,1400.1
Victoria Garchitorena,Philippines,ASIA,725206515,Stub,109.581
Norma Patricia Saucedo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725207874,Stub,127.792
Norma Sotelo Ochoa,Mexico,LATIN AMERICA AND THE CARIBBEAN,725207884,Stub,127.792
Patricia Durán Reveles,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208022,Stub,127.792
Patricia Flores Fuentes,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208027,Stub,127.792
Patricia Garduño,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208041,Stub,127.792
Raymundo Flores,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208364,Stub,127.792
Rebeca Godínez y Bravo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208430,Stub,127.792
Rocío Guzmán de Paz,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208703,Stub,127.792
Rocío Sánchez Pérez,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208726,Stub,127.792
Rodolfo Elizondo Torres,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208752,Start,127.792
Rosa Valenzuela Rodelo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208879,Stub,127.792
Rosario Herrera Ascencio,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208905,Stub,127.792
Rosario Sáenz López,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208910,Stub,127.792
Ruth Hernández Martínez,Mexico,LATIN AMERICA AND THE CARIBBEAN,725208973,Stub,127.792
Sara Rocha Medina,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209144,Stub,127.792
Socorro Díaz Palacios,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209315,Stub,127.792
Sócrates Rizzo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209440,Start,127.792
Victoria Méndez Márquez,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209651,Stub,127.792
Virginia Baeza Estrella,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209669,Stub,127.792
Virginia Jaramillo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209672,Stub,127.792
Yadira Serrano Crespo,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209903,Stub,127.792
Yolanda Peniche Blanco,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209937,Stub,127.792
Yolanda Valladares,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209938,Stub,127.792
Yvette Salazar,Mexico,LATIN AMERICA AND THE CARIBBEAN,725209944,Stub,127.792
Óscar Martín Ramos Salinas,Mexico,LATIN AMERICA AND THE CARIBBEAN,725210076,Stub,127.792
Veselin Vuchkov,Bulgaria,EUROPE,725210256,Stub,6.9270000000000005
Mohamed Moktar Ibrahim,Somalia,AFRICA,725211829,Stub,15.892999999999999
Noor Farah Hersi,Somalia,AFRICA,725211898,Stub,15.892999999999999
Kudret Özersay,Cyprus,ASIA,725218270,Start,1.207
Ibrahim Ag Mohamed Assaleh,Mali,AFRICA,725221182,Start,20.250999999999998
Alexander Dmitrievich Zinoviev,Russia,EUROPE,725224837,Start,146.733
Alonso de Escobar y Cáceres,Spain,EUROPE,725226274,Stub,47.635
N.K. Menon,Malaysia,ASIA,725226456,Start,32.781
Leonardo Gribeo,Spain,EUROPE,725228850,Stub,47.635
Elías Wessin y Wessin,Dominican Republic,LATIN AMERICA AND THE CARIBBEAN,725232018,Start,10.5
Facundo Ynsfrán,Paraguay,LATIN AMERICA AND THE CARIBBEAN,725240610,Stub,7.255
David Karimanzira,Zimbabwe,AFRICA,725242133,Stub,14.863
Mohamed Hussein Ishaq,Somalia,AFRICA,725242288,Stub,15.892999999999999
Hirsi Bulhan Farah,Somalia,AFRICA,725244385,Stub,15.892999999999999
Shariif Mohamed Hassan,Somalia,AFRICA,725245710,Stub,15.892999999999999
Jean-François Leuba,Switzerland,EUROPE,725248688,Stub,8.634
Electoral history of Michael Portillo,United Kingdom,EUROPE,725249067,Stub,67.16
Tomás Gómez Franco,Spain,EUROPE,725251757,Start,47.635
Abdirashid Mohamed Hiddig,Somalia,AFRICA,725254971,Stub,15.892999999999999
Fahma Ahmed Noor,Somalia,AFRICA,725255158,Stub,15.892999999999999
Abdullah Olaad Roobe,Somalia,AFRICA,725255239,Stub,15.892999999999999
Osman Aden Dhuubow,Somalia,AFRICA,725255322,Stub,15.892999999999999
Osman Libah Ibrahim,Somalia,AFRICA,725258051,Stub,15.892999999999999
Ahmed Osman Ibrahim,Somalia,AFRICA,725261305,Stub,15.892999999999999
Geoffrey Charles Lawrence,Tanzania,AFRICA,725284673,Stub,59.733999999999995
Pablo Groux,Bolivia,LATIN AMERICA AND THE CARIBBEAN,725288491,Start,11.633
Eddy Abillammaa,Lebanon,ASIA,725293118,Stub,6.825
Melquiades Valderrama,Chile,LATIN AMERICA AND THE CARIBBEAN,725309464,Stub,19.47
Rafael Batlle Pacheco,Uruguay,LATIN AMERICA AND THE CARIBBEAN,725312502,Stub,3.531
Nicolaas Waterboer,South Africa,AFRICA,725313719,Start,59.628
Katrín Fjeldsted,Iceland,EUROPE,725316844,Start,368.0
Neycho Neev,Bulgaria,EUROPE,725318228,Stub,6.9270000000000005
Andy Maar,Luxembourg,EUROPE,725319802,Start,632.0
José Ángel Cuerda,Spain,EUROPE,725329868,Start,47.635
Pedro Gómez de Don Benito,Spain,EUROPE,725341055,Start,47.635
Serwiński Mieczysław,Poland,EUROPE,725345169,Start,38.368
Jorge Basso,Uruguay,LATIN AMERICA AND THE CARIBBEAN,725345350,Stub,3.531
Carolina Cosse,Uruguay,LATIN AMERICA AND THE CARIBBEAN,725345373,Stub,3.531
Ernesto Murro,Uruguay,LATIN AMERICA AND THE CARIBBEAN,725345398,Stub,3.531
Mohd. Ali Khan,India,ASIA,725358923,Stub,1400.1
Mino Celsi,Italy,EUROPE,725363564,Stub,60.29600000000001
Angelo Raffaele Dinardo,Italy,EUROPE,725369423,Stub,60.29600000000001
Leonardo Ruiz Pineda,Venezuela,LATIN AMERICA AND THE CARIBBEAN,725376957,Start,28.645
Ibrahim Dasuki Jalo-Waziri,Nigeria,AFRICA,725377530,Start,206.14
Paulus Buys,Netherlands,EUROPE,725378208,Start,17.467
Arturo de la Garza González,Mexico,LATIN AMERICA AND THE CARIBBEAN,725385758,Stub,127.792
Filippo Mariotti,Italy,EUROPE,725392930,Stub,60.29600000000001
Shlomo Deri,Israel,ASIA,725394110,Stub,9.216000000000001
Hubert Kitchen,Canada,NORTHERN AMERICA,725395350,Stub,38.19
Uriah Strickland,Canada,NORTHERN AMERICA,725401345,Stub,38.19
Aubrey Gover,Canada,NORTHERN AMERICA,725401404,Stub,38.19
Andries Nel,South Africa,AFRICA,725403514,Stub,59.628
Alec Moores,Canada,NORTHERN AMERICA,725403647,Stub,38.19
Eugene Hiscock,Canada,NORTHERN AMERICA,725404809,Stub,38.19
Chen Gui (politician),China,ASIA,725405764,Start,1402.385
H.R.V. Earle,Canada,NORTHERN AMERICA,725409378,Stub,38.19
Glenn Tobin,Canada,NORTHERN AMERICA,725417107,Stub,38.19
Željko Fajfrić,Serbia,EUROPE,725419401,Stub,6.957000000000001
Goran Ješić,Serbia,EUROPE,725419931,Stub,6.957000000000001
Mohsin Razi,Pakistan,ASIA,725425004,Start,220.94
Rocío García Gaytán,Mexico,LATIN AMERICA AND THE CARIBBEAN,725433832,Stub,127.792
Samuelu Teo,Tuvalu,OCEANIA,725455104,Start,0.01
Mackenzie Kiritome,Tuvalu,OCEANIA,725455301,Stub,0.01
Aristotel Petrović,Bosnia-Herzegovina,EUROPE,725459789,Start,3.281
Alberto Arenas,Chile,LATIN AMERICA AND THE CARIBBEAN,725460480,Stub,19.47
Mai Kivelä,Finland,EUROPE,725461977,Stub,5.529
Mazlan Ismail,Malaysia,ASIA,725465633,C,32.781
Carlos Ferrero,Peru,LATIN AMERICA AND THE CARIBBEAN,725480980,Stub,32.824
Alesana Seluka,Tuvalu,OCEANIA,725494715,Start,0.01
Tore Eugen Kvalheim,Norway,EUROPE,725497541,Stub,5.3870000000000005
Jaime Blanco García,Spain,EUROPE,725504701,Stub,47.635
Dinesh Chandra (politician),India,ASIA,725508627,Stub,1400.1
Hamad bin Abdulaziz Al Suwailem,Saudi Arabia,ASIA,725517548,Stub,35.041
Yolanda Pulecio,Colombia,LATIN AMERICA AND THE CARIBBEAN,725518930,Start,49.443999999999996
Sambrini Targone,Togo,AFRICA,725519775,Stub,8.279
Janga Augustus Kowo,Liberia,AFRICA,725523771,Stub,5.058
Mogtari Sahanun,Ghana,AFRICA,725534989,Stub,31.073
Pacifico Chiriboga,Ecuador,LATIN AMERICA AND THE CARIBBEAN,725540514,Start,17.511
Viliame Gavoka,Fiji,OCEANIA,725577590,Stub,896.0
Ahmad Bahar (Palestinian politician),Palestinian Territory,ASIA,725592476,Stub,5.008
Robert Stricker,Austria,EUROPE,725598368,Start,8.914
Guy Ravier,France,EUROPE,725614956,Stub,64.94
Gustave Ravier,France,EUROPE,725615096,Stub,64.94
Berthold Teusner,Australia,OCEANIA,725619538,Stub,25.754
Gabriele Adinolfi,Italy,EUROPE,725622613,Start,60.29600000000001
Adolphe Allard,Belgium,EUROPE,725627784,Stub,11.515
Fereydun Ebrahimi,Iran,ASIA,725638368,Stub,84.15
Salamullah Javid,Iran,ASIA,725639413,Stub,84.15
Mohammad Biriya,Iran,ASIA,725642494,Stub,84.15
Rabi-ollah Kabiri,Iran,ASIA,725642519,Stub,84.15
Stephen Oluwole Awokoya,Nigeria,AFRICA,725642924,Start,206.14
Yann Piat,France,EUROPE,725643554,Start,64.94
Jasper Shia Que,Philippines,ASIA,725644689,Stub,109.581
Andrea Belluzzi,San Marino,EUROPE,725652026,Stub,34.0
Roberto Venturini,San Marino,EUROPE,725652053,Stub,34.0
Theofelus Eiseb,Namibia,AFRICA,725653685,Stub,2.541
Matiota Kairo,Kiribati,OCEANIA,725657037,Stub,125.0
Tetaake Kwong,Kiribati,OCEANIA,725657068,Stub,125.0
Kirata Temamaka,Kiribati,OCEANIA,725657080,Stub,125.0
Paulo Vanualailai,Kiribati,OCEANIA,725657098,Stub,125.0
Yinka Durosinmi,Nigeria,AFRICA,725668970,Start,206.14
Egon Jakobsen,Denmark,EUROPE,725675868,Stub,5.829
Sámuel Teleki (Chancellor),Hungary,EUROPE,725682539,Start,9.767000000000001
Hermann Höpker-Aschoff,Germany,EUROPE,725708195,Stub,83.3
Wei Liqun,China,ASIA,725716785,Stub,1402.385
Moussa Nébié,Burkina Faso,AFRICA,725719630,Stub,20.903000000000002
Ion Bălăceanu,Romania,EUROPE,725732611,Stub,19.241
Sarah Kanyike,Uganda,AFRICA,725742962,Start,45.74100000000001
Peter den Oudsten,Netherlands,EUROPE,725744607,Stub,17.467
Juan Vicente Paredes Torrealba,Venezuela,LATIN AMERICA AND THE CARIBBEAN,725751098,Stub,28.645
